@relation jsoup

@attribute ST01 numeric
@attribute ST02 numeric
@attribute ST03 numeric
@attribute ST04 numeric
@attribute ST05 numeric
@attribute ST06 numeric
@attribute ST07 numeric
@attribute ST08 numeric
@attribute ST09 numeric
@attribute ST10 numeric
@attribute ST11 numeric
@attribute CT01 numeric
@attribute CT02 numeric
@attribute CT03 numeric
@attribute CT04 numeric
@attribute CT05 numeric
@attribute CT06 numeric
@attribute CT07 numeric
@attribute CT08 numeric
@attribute CT09 numeric
@attribute CT10 numeric
@attribute CT11 numeric
@attribute CT12 numeric
@attribute CT13 numeric
@attribute CT14 numeric
@attribute CT15 numeric
@attribute CT16 numeric
@attribute CT17 numeric
@attribute CT18 numeric
@attribute CT19 numeric
@attribute CT20 numeric
@attribute CT21 numeric
@attribute CT22 numeric
@attribute CT23 numeric
@attribute AT01 numeric
@attribute AT02 numeric
@attribute AT03 numeric
@attribute AT04 numeric
@attribute AT05 numeric
@attribute AT06 numeric
@attribute AT07 numeric
@attribute AT08 numeric
@attribute AT09 numeric
@attribute AT10 numeric
@attribute AT11 numeric
@attribute AT12 numeric
@attribute AT13 numeric
@attribute AT14 numeric
@attribute AT15 numeric
@attribute AT16 numeric
@attribute CB01 numeric
@attribute CB02 numeric
@attribute CB03 numeric
@attribute CB04 numeric
@attribute CB05 numeric
@attribute CB06 numeric
@attribute CB07 numeric
@attribute CB08 numeric
@attribute CB09 numeric
@attribute CB10 numeric
@attribute CB11 numeric
@attribute CB12 numeric
@attribute CB13 numeric
@attribute CB14 numeric
@attribute CB15 numeric
@attribute CB16 numeric
@attribute CB17 numeric
@attribute CB18 numeric
@attribute CB19 numeric
@attribute CB20 numeric
@attribute CB21 numeric
@attribute CB22 numeric
@attribute CB23 numeric
@attribute AB01 numeric
@attribute AB02 numeric
@attribute AB03 numeric
@attribute AB04 numeric
@attribute AB05 numeric
@attribute AB06 numeric
@attribute AB07 numeric
@attribute AB08 numeric
@attribute AB09 numeric
@attribute AB10 numeric
@attribute AB11 numeric
@attribute AB12 numeric
@attribute AB13 numeric
@attribute AB14 numeric
@attribute AB15 numeric
@attribute AB16 numeric
@attribute flag {InTrace,OutTrace}

@data
20,3,1,2,1,8,15,8,25,62,230,25,8,13,22,1,72,10,1,0,3,0,0,0,0,0,1,1,0,2,6,4,0,3,0.1,0,0.3,0,0,0,0,0,0.1,0.1,0,0.2,0.6,0.4,0,0.4,25,8,13,22,1,72,8,1,2,2,0,0,0,0,0,0,0,0,1,6,3,0,1,0.125,0.25,0.25,0,0,0,0,0,0,0,0,0.125,0.75,0.375,0,0.375,InTrace
21,5,2,3,1,8,16,5,5,62,230,25,8,13,22,1,72,64,4,10,13,1,0,1,0,0,0,0,0,14,31,2,4,18,0.063,0.156,0.203,0.016,0,0.016,0,0,0,0,0,0.219,0.484,0.031,0.063,0.031,7,0,15,10,1,52,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,OutTrace
21,6,1,1,1,8,12,8,12,62,230,25,8,13,22,1,72,6,0,3,0,1,1,0,0,0,0,0,0,0,3,1,1,1,0,0.5,0,0.167,0.167,0,0,0,0,0,0,0,0.5,0.167,0.167,0.167,25,8,13,22,1,72,6,0,3,0,1,1,0,0,0,0,0,0,0,3,1,1,1,0,0.5,0,0.167,0.167,0,0,0,0,0,0,0,0.5,0.167,0.167,0.167,OutTrace
21,3,1,1,1,8,16,8,16,62,230,25,8,13,22,1,72,64,4,10,13,1,0,1,0,0,0,0,0,14,31,2,4,18,0.063,0.156,0.203,0.016,0,0.016,0,0,0,0,0,0.219,0.484,0.031,0.063,0.031,25,8,13,22,1,72,64,4,10,13,1,0,1,0,0,0,0,0,14,31,2,4,18,0.063,0.156,0.203,0.016,0,0.016,0,0,0,0,0,0.219,0.484,0.031,0.063,0.031,OutTrace
20,3,1,2,1,8,20,8,16,62,230,25,8,13,22,1,72,17,2,1,4,0,0,0,0,0,0,0,0,0,4,4,0,28,0.118,0.059,0.235,0,0,0,0,0,0,0,0,0,0.235,0.235,0,0.235,25,8,13,22,1,72,64,4,10,13,1,0,1,0,0,0,0,0,14,31,2,4,18,0.063,0.156,0.203,0.016,0,0.016,0,0,0,0,0,0.219,0.484,0.031,0.063,0.031,InTrace
11,3,2,2,1,8,6,14,4,62,230,1,0,11,0,1,50,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,73,42,118,45,0,95,10,1,3,0,1,1,0,0,0,0,0,0,1,6,1,0,4,0.1,0.3,0,0.1,0.1,0,0,0,0,0,0,0.1,0.6,0.1,0,0.1,InTrace
14,2,1,1,1,14,4,14,4,62,230,73,42,118,45,0,95,10,1,3,0,1,1,0,0,0,0,0,0,1,6,1,0,4,0.1,0.3,0,0.1,0.1,0,0,0,0,0,0,0.1,0.6,0.1,0,0.1,73,42,118,45,0,95,10,1,3,0,1,1,0,0,0,0,0,0,1,6,1,0,4,0.1,0.3,0,0.1,0.1,0,0,0,0,0,0,0.1,0.6,0.1,0,0.1,OutTrace
14,2,1,1,1,14,4,14,4,62,230,73,42,118,45,0,95,10,1,3,0,1,1,0,0,0,0,0,0,1,6,1,0,4,0.1,0.3,0,0.1,0.1,0,0,0,0,0,0,0.1,0.6,0.1,0,0.1,73,42,118,45,0,95,10,1,3,0,1,1,0,0,0,0,0,0,1,6,1,0,4,0.1,0.3,0,0.1,0.1,0,0,0,0,0,0,0.1,0.6,0.1,0,0.1,InTrace
14,2,1,1,1,14,4,14,4,62,230,73,42,118,45,0,95,10,1,3,0,1,1,0,0,0,0,0,0,1,6,1,0,4,0.1,0.3,0,0.1,0.1,0,0,0,0,0,0,0.1,0.6,0.1,0,0.1,73,42,118,45,0,95,10,1,3,0,1,1,0,0,0,0,0,0,1,6,1,0,4,0.1,0.3,0,0.1,0.1,0,0,0,0,0,0,0.1,0.6,0.1,0,0.1,OutTrace
16,2,1,1,1,11,6,11,6,62,230,11,1,4,8,0,36,8,0,2,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1.375,0.125,0,0.125,11,1,4,8,0,36,8,0,2,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,1.375,0.125,0,0.125,OutTrace
14,2,1,1,1,10,7,10,7,62,230,18,3,15,5,1,77,9,1,2,2,1,1,0,0,0,0,0,0,1,1,2,1,3,0.111,0.222,0.222,0.111,0.111,0,0,0,0,0,0,0.111,0.111,0.222,0.111,0.222,18,3,15,5,1,77,9,1,2,2,1,1,0,0,0,0,0,0,1,1,2,1,3,0.111,0.222,0.222,0.111,0.111,0,0,0,0,0,0,0.111,0.111,0.222,0.111,0.222,OutTrace
14,2,1,1,1,10,7,10,7,62,230,18,3,15,5,1,77,9,1,2,2,1,1,0,0,0,0,0,0,1,1,2,1,3,0.111,0.222,0.222,0.111,0.111,0,0,0,0,0,0,0.111,0.111,0.222,0.111,0.222,18,3,15,5,1,77,9,1,2,2,1,1,0,0,0,0,0,0,1,1,2,1,3,0.111,0.222,0.222,0.111,0.111,0,0,0,0,0,0,0.111,0.111,0.222,0.111,0.222,OutTrace
16,2,1,1,1,10,7,10,7,62,230,18,3,15,5,1,77,9,1,2,2,1,1,0,0,0,0,0,0,0,4,3,2,4,0.111,0.222,0.222,0.111,0.111,0,0,0,0,0,0,0,0.444,0.333,0.222,0.333,18,3,15,5,1,77,9,1,2,2,1,1,0,0,0,0,0,0,0,4,3,2,4,0.111,0.222,0.222,0.111,0.111,0,0,0,0,0,0,0,0.444,0.333,0.222,0.333,InTrace
16,2,1,1,1,7,11,7,11,62,230,70,7,104,26,0,571,19,0,3,4,0,0,0,0,0,0,0,0,0,24,3,0,9,0,0.158,0.211,0,0,0,0,0,0,0,0,0,1.263,0.158,0,0.158,70,7,104,26,0,571,19,0,3,4,0,0,0,0,0,0,0,0,0,24,3,0,9,0,0.158,0.211,0,0,0,0,0,0,0,0,0,1.263,0.158,0,0.158,OutTrace
15,3,1,1,1,10,7,10,7,62,230,18,3,15,5,1,77,9,1,2,2,1,1,0,0,0,0,0,0,0,4,3,2,4,0.111,0.222,0.222,0.111,0.111,0,0,0,0,0,0,0,0.444,0.333,0.222,0.333,18,3,15,5,1,77,9,1,2,2,1,1,0,0,0,0,0,0,0,4,3,2,4,0.111,0.222,0.222,0.111,0.111,0,0,0,0,0,0,0,0.444,0.333,0.222,0.333,OutTrace
15,3,1,1,1,10,7,10,7,62,230,18,3,15,5,1,77,9,1,2,2,1,1,0,0,0,0,0,0,0,4,3,2,4,0.111,0.222,0.222,0.111,0.111,0,0,0,0,0,0,0,0.444,0.333,0.222,0.333,18,3,15,5,1,77,9,1,2,2,1,1,0,0,0,0,0,0,0,4,3,2,4,0.111,0.222,0.222,0.111,0.111,0,0,0,0,0,0,0,0.444,0.333,0.222,0.333,OutTrace
16,2,1,1,1,10,9,10,9,62,230,18,3,15,5,1,77,9,1,2,2,1,1,0,0,0,0,0,0,0,4,3,2,4,0.111,0.222,0.222,0.111,0.111,0,0,0,0,0,0,0,0.444,0.333,0.222,0.333,18,3,15,5,1,77,9,1,2,2,1,1,0,0,0,0,0,0,0,4,3,2,4,0.111,0.222,0.222,0.111,0.111,0,0,0,0,0,0,0,0.444,0.333,0.222,0.333,InTrace
15,3,1,1,1,10,9,10,9,62,230,18,3,15,5,1,77,9,1,2,2,1,1,0,0,0,0,0,0,0,4,3,2,4,0.111,0.222,0.222,0.111,0.111,0,0,0,0,0,0,0,0.444,0.333,0.222,0.333,18,3,15,5,1,77,9,1,2,2,1,1,0,0,0,0,0,0,0,4,3,2,4,0.111,0.222,0.222,0.111,0.111,0,0,0,0,0,0,0,0.444,0.333,0.222,0.333,OutTrace
15,3,1,1,1,10,9,10,9,62,230,18,3,15,5,1,77,9,1,2,2,1,1,0,0,0,0,0,0,0,4,3,2,4,0.111,0.222,0.222,0.111,0.111,0,0,0,0,0,0,0,0.444,0.333,0.222,0.333,18,3,15,5,1,77,9,1,2,2,1,1,0,0,0,0,0,0,0,4,3,2,4,0.111,0.222,0.222,0.111,0.111,0,0,0,0,0,0,0,0.444,0.333,0.222,0.333,OutTrace
21,11,4,10,0,11,12,8,16,62,230,25,7,20,8,1,40,56,0,0,27,0,0,0,0,0,0,0,0,0,56,0,0,1,0,0,0.482,0,0,0,0,0,0,0,0,0,1,0,0,0,25,8,13,22,1,72,64,4,10,13,1,0,1,0,0,0,0,0,14,31,2,4,18,0.063,0.156,0.203,0.016,0,0.016,0,0,0,0,0,0.219,0.484,0.031,0.063,0.031,OutTrace
21,8,4,7,0,11,12,8,16,62,230,25,7,20,8,1,40,56,0,0,27,0,0,0,0,0,0,0,0,0,56,0,0,1,0,0,0.482,0,0,0,0,0,0,0,0,0,1,0,0,0,25,8,13,22,1,72,64,4,10,13,1,0,1,0,0,0,0,0,14,31,2,4,18,0.063,0.156,0.203,0.016,0,0.016,0,0,0,0,0,0.219,0.484,0.031,0.063,0.031,OutTrace
21,8,4,7,0,11,12,8,16,62,230,25,7,20,8,1,40,56,0,0,27,0,0,0,0,0,0,0,0,0,56,0,0,1,0,0,0.482,0,0,0,0,0,0,0,0,0,1,0,0,0,25,8,13,22,1,72,64,4,10,13,1,0,1,0,0,0,0,0,14,31,2,4,18,0.063,0.156,0.203,0.016,0,0.016,0,0,0,0,0,0.219,0.484,0.031,0.063,0.031,OutTrace
21,8,4,7,0,11,12,8,16,62,230,25,7,20,8,1,40,56,0,0,27,0,0,0,0,0,0,0,0,0,56,0,0,1,0,0,0.482,0,0,0,0,0,0,0,0,0,1,0,0,0,25,8,13,22,1,72,64,4,10,13,1,0,1,0,0,0,0,0,14,31,2,4,18,0.063,0.156,0.203,0.016,0,0.016,0,0,0,0,0,0.219,0.484,0.031,0.063,0.031,OutTrace
21,8,4,7,0,11,12,8,16,62,230,25,7,20,8,1,40,56,0,0,27,0,0,0,0,0,0,0,0,0,56,0,0,1,0,0,0.482,0,0,0,0,0,0,0,0,0,1,0,0,0,25,8,13,22,1,72,64,4,10,13,1,0,1,0,0,0,0,0,14,31,2,4,18,0.063,0.156,0.203,0.016,0,0.016,0,0,0,0,0,0.219,0.484,0.031,0.063,0.031,OutTrace
21,11,4,10,0,11,12,8,16,62,230,25,7,20,8,1,40,56,0,0,27,0,0,0,0,0,0,0,0,0,56,0,0,1,0,0,0.482,0,0,0,0,0,0,0,0,0,1,0,0,0,25,8,13,22,1,72,64,4,10,13,1,0,1,0,0,0,0,0,14,31,2,4,18,0.063,0.156,0.203,0.016,0,0.016,0,0,0,0,0,0.219,0.484,0.031,0.063,0.031,OutTrace
16,2,1,1,1,8,5,8,5,62,230,28,17,39,10,0,201,2,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,2.5,0.5,0,0.5,28,17,39,10,0,201,2,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,2.5,0.5,0,0.5,OutTrace
15,8,3,6,0,10,26,7,4,62,230,18,3,15,5,1,77,19,3,5,2,1,1,0,0,0,0,0,0,5,6,0,1,3,0.158,0.263,0.105,0.053,0.053,0,0,0,0,0,0,0.263,0.316,0,0.053,0,70,7,104,26,0,571,19,4,3,3,0,0,0,0,0,0,0,0,0,12,1,1,6,0.211,0.158,0.158,0,0,0,0,0,0,0,0,0,0.632,0.053,0.053,0.053,OutTrace
15,8,3,6,0,10,26,7,4,62,230,18,3,15,5,1,77,19,3,5,2,1,1,0,0,0,0,0,0,5,6,0,1,3,0.158,0.263,0.105,0.053,0.053,0,0,0,0,0,0,0.263,0.316,0,0.053,0,70,7,104,26,0,571,19,4,3,3,0,0,0,0,0,0,0,0,0,12,1,1,6,0.211,0.158,0.158,0,0,0,0,0,0,0,0,0,0.632,0.053,0.053,0.053,OutTrace
11,12,6,11,0,8,4,8,16,62,230,1,0,11,0,1,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,13,22,1,72,64,4,10,13,1,0,1,0,0,0,0,0,14,31,2,4,18,0.063,0.156,0.203,0.016,0,0.016,0,0,0,0,0,0.219,0.484,0.031,0.063,0.031,OutTrace
14,8,6,7,0,10,2,8,16,62,230,18,3,15,5,1,77,5,2,1,1,1,0,1,0,0,0,0,0,0,1,2,0,0,0.4,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0.2,0.4,0,0.4,25,8,13,22,1,72,64,4,10,13,1,0,1,0,0,0,0,0,14,31,2,4,18,0.063,0.156,0.203,0.016,0,0.016,0,0,0,0,0,0.219,0.484,0.031,0.063,0.031,InTrace
11,12,6,11,0,8,4,8,16,62,230,1,0,11,0,1,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,13,22,1,72,64,4,10,13,1,0,1,0,0,0,0,0,14,31,2,4,18,0.063,0.156,0.203,0.016,0,0.016,0,0,0,0,0,0.219,0.484,0.031,0.063,0.031,OutTrace
14,8,6,7,0,10,2,8,16,62,230,18,3,15,5,1,77,5,2,1,1,1,0,1,0,0,0,0,0,0,1,2,0,0,0.4,0.2,0.2,0.2,0,0.2,0,0,0,0,0,0,0.2,0.4,0,0.4,25,8,13,22,1,72,64,4,10,13,1,0,1,0,0,0,0,0,14,31,2,4,18,0.063,0.156,0.203,0.016,0,0.016,0,0,0,0,0,0.219,0.484,0.031,0.063,0.031,InTrace
