@relation r200

@attribute ST01 numeric
@attribute ST02 numeric
@attribute ST03 numeric
@attribute ST04 numeric
@attribute ST05 numeric
@attribute ST06 numeric
@attribute ST07 numeric
@attribute ST08 numeric
@attribute ST09 numeric
@attribute ST10 numeric
@attribute ST11 numeric
@attribute CT01 numeric
@attribute CT02 numeric
@attribute CT03 numeric
@attribute CT04 numeric
@attribute CT05 numeric
@attribute CT06 numeric
@attribute CT07 numeric
@attribute CT08 numeric
@attribute CT09 numeric
@attribute CT10 numeric
@attribute CT11 numeric
@attribute CT12 numeric
@attribute CT13 numeric
@attribute CT14 numeric
@attribute CT15 numeric
@attribute CT16 numeric
@attribute CT17 numeric
@attribute CT18 numeric
@attribute CT19 numeric
@attribute CT20 numeric
@attribute CT21 numeric
@attribute CT22 numeric
@attribute CT23 numeric
@attribute AT01 numeric
@attribute AT02 numeric
@attribute AT03 numeric
@attribute AT04 numeric
@attribute AT05 numeric
@attribute AT06 numeric
@attribute AT07 numeric
@attribute AT08 numeric
@attribute AT09 numeric
@attribute AT10 numeric
@attribute AT11 numeric
@attribute AT12 numeric
@attribute AT13 numeric
@attribute AT14 numeric
@attribute AT15 numeric
@attribute AT16 numeric
@attribute CB01 numeric
@attribute CB02 numeric
@attribute CB03 numeric
@attribute CB04 numeric
@attribute CB05 numeric
@attribute CB06 numeric
@attribute CB07 numeric
@attribute CB08 numeric
@attribute CB09 numeric
@attribute CB10 numeric
@attribute CB11 numeric
@attribute CB12 numeric
@attribute CB13 numeric
@attribute CB14 numeric
@attribute CB15 numeric
@attribute CB16 numeric
@attribute CB17 numeric
@attribute CB18 numeric
@attribute CB19 numeric
@attribute CB20 numeric
@attribute CB21 numeric
@attribute CB22 numeric
@attribute CB23 numeric
@attribute AB01 numeric
@attribute AB02 numeric
@attribute AB03 numeric
@attribute AB04 numeric
@attribute AB05 numeric
@attribute AB06 numeric
@attribute AB07 numeric
@attribute AB08 numeric
@attribute AB09 numeric
@attribute AB10 numeric
@attribute AB11 numeric
@attribute AB12 numeric
@attribute AB13 numeric
@attribute AB14 numeric
@attribute AB15 numeric
@attribute AB16 numeric
@attribute flag {InTrace,OutTrace}

@data
14,6,1,5,0,9,15,9,13,115,117,107,16,117,32,1,1741,31,5,3,8,1,0,1,0,0,0,0,0,0,15,0,3,14,0.161,0.097,0.258,0.032,0,0.032,0,0,0,0,0,0,0.484,0,0.097,0,107,16,117,32,1,1741,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,InTrace
14,4,1,2,0,15,4,15,4,115,117,3,5,15,7,0,491,25,3,3,4,1,0,1,0,0,0,0,0,1,15,0,0,6,0.12,0.12,0.16,0.04,0,0.04,0,0,0,0,0,0.04,0.6,0,0,0,3,5,15,7,0,491,10,2,0,1,0,0,0,0,0,1,1,0,0,4,0,0,1,0.2,0,0.1,0,0,0,0,0,0.1,0.1,0,0,0.4,0,0,0,InTrace
14,4,1,3,0,9,13,9,13,115,117,107,16,117,32,1,1741,21,4,4,4,1,0,1,0,0,0,0,0,1,14,0,1,10,0.19,0.19,0.19,0.048,0,0.048,0,0,0,0,0,0.048,0.667,0,0.048,0,107,16,117,32,1,1741,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,InTrace
14,2,1,1,1,13,11,13,11,115,117,57,7,39,5,1,849,15,2,2,3,1,0,1,0,0,0,0,0,0,4,4,0,5,0.133,0.133,0.2,0.067,0,0.067,0,0,0,0,0,0,0.267,0.267,0,0.267,57,7,39,5,1,849,15,2,2,3,1,0,1,0,0,0,0,0,0,4,4,0,5,0.133,0.133,0.2,0.067,0,0.067,0,0,0,0,0,0,0.267,0.267,0,0.267,InTrace
14,3,1,2,1,11,19,11,17,115,117,19,0,30,5,1,237,4,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0.75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,30,5,1,237,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,InTrace
16,6,1,4,0,15,21,15,15,115,117,50,22,14,17,0,369,62,5,9,12,0,0,0,0,0,0,0,0,0,18,8,2,13,0.081,0.145,0.194,0,0,0,0,0,0,0,0,0,0.29,0.129,0.032,0.129,50,22,14,17,0,369,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,InTrace
14,3,1,2,1,9,14,9,9,115,117,107,16,117,32,1,1741,14,4,2,3,1,0,1,0,0,0,0,0,0,5,0,0,1,0.286,0.143,0.214,0.071,0,0.071,0,0,0,0,0,0,0.357,0,0,0,107,16,117,32,1,1741,10,3,3,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0.5,0.1,0,0.1,InTrace
14,2,1,1,1,11,16,11,16,115,117,19,0,30,5,1,237,8,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,24,0.375,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,30,5,1,237,8,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,24,0.375,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,InTrace
14,3,1,2,1,9,19,9,18,115,117,107,16,117,32,1,1741,17,1,3,2,1,0,1,0,0,1,1,0,1,4,2,1,1,0.059,0.176,0.118,0.059,0,0.059,0,0,0.059,0.059,0,0.059,0.235,0.118,0.059,0.118,107,16,117,32,1,1741,10,1,1,2,0,0,0,0,0,0,0,0,0,5,2,1,1,0.1,0.1,0.2,0,0,0,0,0,0,0,0,0,0.5,0.2,0.1,0.2,InTrace
14,5,2,4,0,9,16,18,7,115,117,107,16,117,32,1,1741,20,1,3,3,1,0,1,0,0,1,1,0,1,3,2,1,2,0.05,0.15,0.15,0.05,0,0.05,0,0,0.05,0.05,0,0.05,0.15,0.1,0.05,0.1,3,6,2,4,0,84,20,2,3,4,0,0,0,0,0,0,0,0,4,8,3,1,5,0.1,0.15,0.2,0,0,0,0,0,0,0,0,0.2,0.4,0.15,0.05,0.15,InTrace
