@relation r200

@attribute ST01 numeric
@attribute ST02 numeric
@attribute ST03 numeric
@attribute ST04 numeric
@attribute ST05 numeric
@attribute ST06 numeric
@attribute ST07 numeric
@attribute ST08 numeric
@attribute ST09 numeric
@attribute ST10 numeric
@attribute ST11 numeric
@attribute CT01 numeric
@attribute CT02 numeric
@attribute CT03 numeric
@attribute CT04 numeric
@attribute CT05 numeric
@attribute CT06 numeric
@attribute CT07 numeric
@attribute CT08 numeric
@attribute CT09 numeric
@attribute CT10 numeric
@attribute CT11 numeric
@attribute CT12 numeric
@attribute CT13 numeric
@attribute CT14 numeric
@attribute CT15 numeric
@attribute CT16 numeric
@attribute CT17 numeric
@attribute CT18 numeric
@attribute CT19 numeric
@attribute CT20 numeric
@attribute CT21 numeric
@attribute CT22 numeric
@attribute CT23 numeric
@attribute AT01 numeric
@attribute AT02 numeric
@attribute AT03 numeric
@attribute AT04 numeric
@attribute AT05 numeric
@attribute AT06 numeric
@attribute AT07 numeric
@attribute AT08 numeric
@attribute AT09 numeric
@attribute AT10 numeric
@attribute AT11 numeric
@attribute AT12 numeric
@attribute AT13 numeric
@attribute AT14 numeric
@attribute AT15 numeric
@attribute AT16 numeric
@attribute CB01 numeric
@attribute CB02 numeric
@attribute CB03 numeric
@attribute CB04 numeric
@attribute CB05 numeric
@attribute CB06 numeric
@attribute CB07 numeric
@attribute CB08 numeric
@attribute CB09 numeric
@attribute CB10 numeric
@attribute CB11 numeric
@attribute CB12 numeric
@attribute CB13 numeric
@attribute CB14 numeric
@attribute CB15 numeric
@attribute CB16 numeric
@attribute CB17 numeric
@attribute CB18 numeric
@attribute CB19 numeric
@attribute CB20 numeric
@attribute CB21 numeric
@attribute CB22 numeric
@attribute CB23 numeric
@attribute AB01 numeric
@attribute AB02 numeric
@attribute AB03 numeric
@attribute AB04 numeric
@attribute AB05 numeric
@attribute AB06 numeric
@attribute AB07 numeric
@attribute AB08 numeric
@attribute AB09 numeric
@attribute AB10 numeric
@attribute AB11 numeric
@attribute AB12 numeric
@attribute AB13 numeric
@attribute AB14 numeric
@attribute AB15 numeric
@attribute AB16 numeric
@attribute flag {InTrace,OutTrace}

@data
20,9,2,5,0,9,19,10,11,152,154,60,36,61,30,0,240,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,69,2,23,23,1,136,2,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0.5,InTrace
14,3,1,2,1,11,16,11,20,152,154,59,14,96,34,1,139,20,2,5,3,1,0,1,0,0,0,0,0,1,10,2,1,2,0.1,0.25,0.15,0.05,0,0.05,0,0,0,0,0,0.05,0.5,0.1,0.05,0.1,59,14,96,34,1,139,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,InTrace
20,5,4,4,1,20,3,11,10,152,154,19,2,15,7,1,24,17,2,4,3,0,0,0,0,0,0,0,0,0,4,4,0,3,0.118,0.235,0.176,0,0,0,0,0,0,0,0,0,0.235,0.235,0,0.235,59,14,96,34,1,139,7,1,1,0,0,0,0,0,0,1,0,1,0,5,1,0,0,0.143,0.143,0,0,0,0,0,0,0.143,0,0.143,0,0.714,0.143,0,0.143,InTrace
20,4,2,2,1,16,26,10,9,152,154,15,2,65,13,0,123,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,48,8,22,12,0,82,60,2,12,7,0,0,0,0,0,1,1,0,7,17,3,0,14,0.033,0.2,0.117,0,0,0,0,0,0.017,0.017,0,0.117,0.283,0.05,0,0.05,InTrace
20,15,6,13,0,19,15,10,9,152,154,14,46,89,8,0,96,5,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,3,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0.4,0,0.4,48,8,22,12,0,82,60,2,12,7,0,0,0,0,0,1,1,0,7,17,3,0,14,0.033,0.2,0.117,0,0,0,0,0,0.017,0.017,0,0.117,0.283,0.05,0,0.05,InTrace
14,4,1,3,1,12,17,12,4,152,154,28,26,65,13,0,263,20,2,3,2,2,0,2,0,0,0,0,0,4,11,2,0,6,0.1,0.15,0.1,0.1,0,0.1,0,0,0,0,0,0.2,0.55,0.1,0,0.1,28,26,65,13,0,263,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,InTrace
14,5,2,4,1,19,19,19,9,152,154,14,46,89,8,0,96,22,4,2,3,1,0,1,0,0,1,1,0,1,5,3,0,4,0.182,0.091,0.136,0.045,0,0.045,0,0,0.045,0.045,0,0.045,0.227,0.136,0,0.136,14,46,89,8,0,96,24,3,2,4,0,0,0,0,0,0,0,0,0,6,5,0,3,0.125,0.083,0.167,0,0,0,0,0,0,0,0,0,0.25,0.208,0,0.208,InTrace
14,9,2,5,0,16,16,10,11,152,154,15,2,65,13,0,123,18,5,2,4,1,0,1,0,0,0,0,0,1,11,0,2,4,0.278,0.111,0.222,0.056,0,0.056,0,0,0,0,0,0.056,0.611,0,0.111,0,69,2,23,23,1,136,2,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0.5,InTrace
20,3,1,1,1,9,24,9,24,152,154,60,36,61,30,0,240,5,2,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0.4,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0.4,0,0.4,60,36,61,30,0,240,5,2,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0.4,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0.4,0,0.4,InTrace
14,4,1,2,1,25,11,25,5,152,154,16,43,4,5,0,33,178,3,5,36,1,0,1,0,0,0,0,0,1,207,0,1,22,0.017,0.028,0.202,0.006,0,0.006,0,0,0,0,0,0.006,1.163,0,0.006,0,16,43,4,5,0,33,5,3,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0.6,0,0,0,0,0,0,0,0.2,0.2,0,0,0.4,0,0,0,InTrace
20,15,6,13,0,19,19,10,9,152,154,14,46,89,8,0,96,9,2,1,2,1,0,1,0,0,0,0,0,0,5,2,0,6,0.222,0.111,0.222,0.111,0,0.111,0,0,0,0,0,0,0.556,0.222,0,0.222,48,8,22,12,0,82,60,2,12,7,0,0,0,0,0,1,1,0,7,17,3,0,14,0.033,0.2,0.117,0,0,0,0,0,0.017,0.017,0,0.117,0.283,0.05,0,0.05,InTrace
20,4,2,3,0,9,25,11,16,152,154,60,36,61,30,0,240,6,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0.167,0.167,0.167,0,0,0,0,0,0,0,0,0,0.333,0.333,0,0.333,59,14,96,34,1,139,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,InTrace
20,16,6,14,0,9,9,10,9,152,154,60,36,61,30,0,240,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,48,8,22,12,0,82,60,2,12,7,0,0,0,0,0,1,1,0,7,17,3,0,14,0.033,0.2,0.117,0,0,0,0,0,0.017,0.017,0,0.117,0.283,0.05,0,0.05,InTrace
14,4,3,3,1,12,6,11,6,152,154,24,4,9,9,0,32,101,4,10,20,1,0,1,0,0,2,2,0,6,34,1,2,21,0.04,0.099,0.198,0.01,0,0.01,0,0,0.02,0.02,0,0.059,0.337,0.01,0.02,0.01,59,14,96,34,1,139,16,1,2,2,0,0,0,0,0,1,0,1,0,6,2,0,2,0.063,0.125,0.125,0,0,0,0,0,0.063,0,0.063,0,0.375,0.125,0,0.125,InTrace
20,3,1,2,1,5,16,5,3,152,154,23,9,50,22,1,267,11,2,2,1,1,1,0,0,0,0,0,0,3,1,1,1,3,0.182,0.182,0.091,0.091,0.091,0,0,0,0,0,0,0.273,0.091,0.091,0.091,0.091,23,9,50,22,1,267,5,3,3,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0.8,0.2,0,0.2,InTrace
14,9,2,8,0,12,14,12,5,152,154,28,26,65,13,0,263,27,3,2,5,2,0,2,0,0,0,0,0,1,13,0,0,2,0.111,0.074,0.185,0.074,0,0.074,0,0,0,0,0,0.037,0.481,0,0,0,28,26,65,13,0,263,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,InTrace
14,2,1,1,1,11,12,11,12,152,154,59,14,96,34,1,139,10,2,3,1,1,0,1,0,0,0,0,0,0,6,2,1,0,0.2,0.3,0.1,0.1,0,0.1,0,0,0,0,0,0,0.6,0.2,0.1,0.2,59,14,96,34,1,139,10,2,3,1,1,0,1,0,0,0,0,0,0,6,2,1,0,0.2,0.3,0.1,0.1,0,0.1,0,0,0,0,0,0,0.6,0.2,0.1,0.2,InTrace
