@relation r200

@attribute ST01 numeric
@attribute ST02 numeric
@attribute ST03 numeric
@attribute ST04 numeric
@attribute ST05 numeric
@attribute ST06 numeric
@attribute ST07 numeric
@attribute ST08 numeric
@attribute ST09 numeric
@attribute ST10 numeric
@attribute ST11 numeric
@attribute CT01 numeric
@attribute CT02 numeric
@attribute CT03 numeric
@attribute CT04 numeric
@attribute CT05 numeric
@attribute CT06 numeric
@attribute CT07 numeric
@attribute CT08 numeric
@attribute CT09 numeric
@attribute CT10 numeric
@attribute CT11 numeric
@attribute CT12 numeric
@attribute CT13 numeric
@attribute CT14 numeric
@attribute CT15 numeric
@attribute CT16 numeric
@attribute CT17 numeric
@attribute CT18 numeric
@attribute CT19 numeric
@attribute CT20 numeric
@attribute CT21 numeric
@attribute CT22 numeric
@attribute CT23 numeric
@attribute AT01 numeric
@attribute AT02 numeric
@attribute AT03 numeric
@attribute AT04 numeric
@attribute AT05 numeric
@attribute AT06 numeric
@attribute AT07 numeric
@attribute AT08 numeric
@attribute AT09 numeric
@attribute AT10 numeric
@attribute AT11 numeric
@attribute AT12 numeric
@attribute AT13 numeric
@attribute AT14 numeric
@attribute AT15 numeric
@attribute AT16 numeric
@attribute CB01 numeric
@attribute CB02 numeric
@attribute CB03 numeric
@attribute CB04 numeric
@attribute CB05 numeric
@attribute CB06 numeric
@attribute CB07 numeric
@attribute CB08 numeric
@attribute CB09 numeric
@attribute CB10 numeric
@attribute CB11 numeric
@attribute CB12 numeric
@attribute CB13 numeric
@attribute CB14 numeric
@attribute CB15 numeric
@attribute CB16 numeric
@attribute CB17 numeric
@attribute CB18 numeric
@attribute CB19 numeric
@attribute CB20 numeric
@attribute CB21 numeric
@attribute CB22 numeric
@attribute CB23 numeric
@attribute AB01 numeric
@attribute AB02 numeric
@attribute AB03 numeric
@attribute AB04 numeric
@attribute AB05 numeric
@attribute AB06 numeric
@attribute AB07 numeric
@attribute AB08 numeric
@attribute AB09 numeric
@attribute AB10 numeric
@attribute AB11 numeric
@attribute AB12 numeric
@attribute AB13 numeric
@attribute AB14 numeric
@attribute AB15 numeric
@attribute AB16 numeric
@attribute flag {InTrace,OutTrace}

@data
20,7,2,5,0,10,9,26,5,196,184,4,7,19,0,1,7,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,InTrace
21,21,4,18,1,16,8,16,5,196,184,14,17,29,0,1,69,5,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.4,0,0.4,8,0,8,7,1,40,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0,0,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,InTrace
20,11,6,7,1,4,15,10,6,196,184,1,12,25,3,1,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,12,6,1,38,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,InTrace
16,7,3,3,1,12,7,4,6,196,184,0,1,3,2,1,24,10,1,0,2,0,0,0,0,0,0,0,0,0,15,0,1,2,0.1,0,0.2,0,0,0,0,0,0,0,0,0,1.5,0,0.1,0,1,4,10,5,1,21,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,InTrace
16,3,2,2,1,6,8,10,8,196,184,3,2,6,4,1,21,14,0,3,2,1,1,0,0,0,0,0,0,0,11,1,1,2,0,0.214,0.143,0.071,0.071,0,0,0,0,0,0,0,0.786,0.071,0.071,0.071,2,1,4,1,1,25,5,0,2,0,1,0,1,0,0,0,0,0,0,4,1,0,0,0,0.4,0,0.2,0,0.2,0,0,0,0,0,0,0.8,0.2,0,0.2,InTrace
20,10,2,7,0,26,12,26,5,196,184,0,0,2,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,2,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,InTrace
15,3,1,1,1,11,11,11,11,196,184,3,1,5,0,1,25,7,1,0,1,0,0,0,0,0,0,0,0,2,5,0,0,2,0.143,0,0.143,0,0,0,0,0,0,0,0,0.286,0.714,0,0,0,3,1,5,0,1,25,7,1,0,1,0,0,0,0,0,0,0,0,2,5,0,0,2,0.143,0,0.143,0,0,0,0,0,0,0,0,0.286,0.714,0,0,0,InTrace
20,10,5,6,1,16,8,10,6,196,184,2,11,15,1,1,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,12,6,1,38,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,InTrace
21,23,3,21,1,9,9,19,5,196,184,0,1,4,1,1,24,2,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0.5,2,0,0,0,1,0,1,3,1,24,6,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0.167,0.167,0,0,0,0,0,0,0.167,0.167,0,0,0.167,0.167,0,0.167,InTrace
20,11,2,8,0,10,14,26,5,196,184,4,7,19,0,1,7,6,2,1,1,1,1,0,0,0,0,0,0,0,1,1,1,2,0.333,0.167,0.167,0.167,0.167,0,0,0,0,0,0,0,0.167,0.167,0.167,0.167,0,0,2,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,InTrace
16,12,6,7,0,6,21,10,8,196,184,1,4,6,1,1,21,9,0,0,3,0,0,0,0,0,0,0,0,0,6,4,4,9,0,0,0.333,0,0,0,0,0,0,0,0,0,0.667,0.444,0.444,0.444,2,1,4,1,1,25,5,0,2,0,1,0,1,0,0,0,0,0,0,4,1,0,0,0,0.4,0,0.2,0,0.2,0,0,0,0,0,0,0.8,0.2,0,0.2,InTrace
20,8,5,5,1,8,16,6,6,196,184,1,2,5,1,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,6,4,1,21,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,InTrace
20,10,5,6,1,11,8,9,6,196,184,8,21,52,8,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,8,6,1,32,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,InTrace
16,6,1,5,1,12,11,12,10,196,184,694,35,795,20,0,54,210,0,20,8,0,0,0,0,0,0,0,0,31,75,1,14,17,0,0.095,0.038,0,0,0,0,0,0,0,0,0.148,0.357,0.005,0.067,0.005,694,35,795,20,0,54,95,0,5,10,2,0,0,2,0,2,2,1,7,24,1,3,6,0,0.053,0.105,0.021,0,0,0.021,0,0.021,0.021,0.011,0.074,0.253,0.011,0.032,0.011,InTrace
20,11,5,8,0,7,8,6,6,196,184,0,4,10,1,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,6,4,1,21,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,InTrace
20,11,5,5,1,5,12,5,8,196,184,1,4,9,2,1,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,7,6,1,27,16,0,2,1,1,0,0,1,0,0,0,0,0,12,1,0,0,0,0.125,0.063,0.063,0,0,0.063,0,0,0,0,0,0.75,0.063,0,0.063,InTrace
16,14,4,6,0,20,8,11,8,196,184,0,2,6,2,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,8,18,7,1,43,25,0,3,3,0,0,0,0,0,0,0,0,8,8,1,2,14,0,0.12,0.12,0,0,0,0,0,0,0,0,0.32,0.32,0.04,0.08,0.04,InTrace
20,10,5,6,1,11,9,9,6,196,184,8,21,52,8,1,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,8,6,1,32,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,InTrace
20,11,5,7,0,9,8,6,6,196,184,3,5,14,7,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,6,4,1,21,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,InTrace
20,10,5,6,1,16,8,10,6,196,184,2,11,15,1,1,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5,12,6,1,38,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,InTrace
20,9,2,6,0,26,5,26,5,196,184,0,0,2,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,InTrace
